Date_Time,air_pressure_at_sea_level,air_temperature,air_temperature_max,air_temperature_min,cloud_area_fraction,cloud_area_fraction_high,cloud_area_fraction_low,cloud_area_fraction_medium,dew_point_temperature,fog_area_fraction,precipitation_amount,relative_humidity,ultraviolet_index_clear_sky,wind_from_direction,wind_speed
2020-11-04 20:00:00,1039.4hPa,5.0celsius,,,20.3%,11.7%,1.6%,8.6%,3.6celsius,0.0%,0.0mm,91.6%,0.01,250.2degrees,2.0m/s
2020-11-04 21:00:00,1039.7hPa,4.8celsius,,,57.8%,36.7%,0.8%,32.0%,3.5celsius,0.0%,0.0mm,92.4%,0.01,246.0degrees,2.1m/s
2020-11-04 22:00:00,1040.1hPa,5.1celsius,,,57.8%,0.0%,12.5%,54.7%,3.7celsius,0.0%,0.0mm,91.7%,0.01,237.6degrees,2.1m/s
2020-11-04 23:00:00,1040.2hPa,5.3celsius,,,92.2%,0.0%,25.8%,89.8%,3.7celsius,0.0%,0.0mm,89.9%,0.01,232.2degrees,2.4m/s
2020-11-05 00:00:00,1040.2hPa,6.1celsius,,,100.0%,0.0%,18.0%,100.0%,3.7celsius,0.0%,0.0mm,84.5%,0.01,236.1degrees,2.6m/s
2020-11-05 01:00:00,1039.9hPa,6.6celsius,,,100.0%,0.0%,19.5%,100.0%,3.6celsius,0.0%,0.0mm,81.0%,0.01,243.0degrees,2.8m/s
2020-11-05 02:00:00,1039.5hPa,7.0celsius,,,62.5%,0.0%,4.7%,61.7%,3.9celsius,0.0%,0.0mm,80.4%,0.01,242.9degrees,2.8m/s
2020-11-05 03:00:00,1039.3hPa,6.5celsius,,,31.2%,0.0%,6.2%,28.9%,4.3celsius,0.0%,0.0mm,85.6%,0.01,251.0degrees,2.7m/s
2020-11-05 04:00:00,1039.2hPa,5.9celsius,,,17.2%,0.0%,14.1%,5.5%,4.6celsius,0.0%,0.0mm,90.6%,0.01,247.3degrees,2.4m/s
2020-11-05 05:00:00,1039.0hPa,5.8celsius,,,17.2%,0.0%,16.4%,5.5%,4.7celsius,0.0%,0.0mm,92.6%,0.01,239.6degrees,2.6m/s
